figure_id	Species	Group	PlotGroup	median_value	log_median_value
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	71.7131	1.85559910210477
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.9975	1.11386316746212
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	19.2997	1.2855528085235
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	132.11425	2.12094999238623
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	110.791	2.04450487432622
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.8171	1.07251458580056
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	14.39595	1.1582433463642
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	42.7737	1.63117783444485
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.1806	1.30493622636396
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	55.7531	1.74626979911856
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	55.8598	1.74710015389476
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.2156	1.04982638417402
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	42.8603	1.63205621983185
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.1541	1.25897711564271
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.90918	0.898136950468716
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.93235	1.07672962323777
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.06057	0.95716031318943
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	23.6186	1.37325598987513
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	215.172	2.33278595843689
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	55.9098	1.74748871548373
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	24.0649	1.38138586601338
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.47005	1.01995290361825
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	56.4119	1.75137149723588
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	42.6077	1.62948911053168
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	15.8571	1.20022650379474
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	40.7258	1.60987069054261
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.4657	1.05940436202841
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.84802	0.835571361902919
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	59.98345	1.77803216498782
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.60233	0.819703805445052
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.1725	1.00743196780374
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	85.1591	1.93023157294926
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	1046.08	3.01956494041665
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	35.1652	1.54611432679105
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	51.8709	1.71492462066171
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	70.5672	1.84860350105985
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.9775	1.25473171318547
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.9949	1.32211587897396
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	39.4797	1.59637494391866
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	13.1095	1.11758944070282
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	105.9165	2.02496403115021
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	51.5761	1.71244934129503
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.4643	0.927596178520036
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.516495	0.876021150751136
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	73.8903	1.86858801758492
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	53.3174	1.72686977761994
