pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
stringtie_sq3	novel_evl	es_cdna_ont	mouse	PTP	isoform_cov	2	0.856659661801417	0.00428775629044843	0.856659661801417	0.855143711026892	0.858175612575943	0.00303190154905131
stringtie_sq3	novel_evl	es_cdna_pacbio	mouse	TP	isoform_cov	12	0.993157698211545	0.0156718617723443	0.998758535071384	0.988225150043709	1	0.0117748499562907
stringtie_sq3	novel_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	10	0.598283089420771	0.299955500084154	0.485558364768879	0.378383766339909	0.840734415029889	0.46235064868998
stringtie_sq3	novel_evl	es_drna_ont	mouse	TP	isoform_cov	8	0.853089728785335	0.277232442465486	0.996192893401015	0.87893113318027	1.00126896111699	0.122337827936722
stringtie_sq3	novel_evl	wtc11_captrap_ont	human	PTP	isoform_cov	6	0.628987955649428	0.299408636324071	0.605275307680549	0.481829553804307	0.767005905946289	0.285176352141982
stringtie_sq3	novel_evl	wtc11_captrap_ont	human	TP	isoform_cov	8	1.01704793278423	0.213615671238312	1	0.999103453776167	1.00365144193667	0.00454798816050384
stringtie_sq3	novel_evl	wtc11_captrap_pacbio	human	PTP	isoform_cov	5	0.4513637291767	0.241348366000616	0.480162391585163	0.37201147593242	0.590107229332411	0.218095753399991
stringtie_sq3	novel_evl	wtc11_captrap_pacbio	human	TP	isoform_cov	7	0.775106897309835	0.475030302296189	1	0.445920481786263	1.00117302052786	0.555252538741597
stringtie_sq3	novel_evl	wtc11_cdna_ont	human	TP	isoform_cov	10	1.01533770746116	0.191508636004987	1.00175953079179	0.99655212768258	1.00519599324613	0.00864386556354724
stringtie_sq3	novel_evl	wtc11_cdna_ont	human	PTP	isoform_cov	4	0.724678729745893	0.283126264824829	0.669105907746926	0.506833099616733	0.886951537876086	0.380118438259353
stringtie_sq3	novel_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	17	0.980711719741125	0.159682567183745	1	0.998477234658139	1	0.0015227653418608
stringtie_sq3	novel_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	13	0.798072010676006	0.519201655681575	1.01439379959402	0.189618348964621	1.21993127147766	1.03031292251304
stringtie_sq3	novel_evl	wtc11_drna_ont	human	TP	isoform_cov	10	0.984374194650089	0.270981385022571	1.00055126791621	1	1.00439833510419	0.00439833510419385
stringtie_sq3	novel_evl	wtc11_drna_ont	human	PTP	isoform_cov	3	1.2001105691852	0.179595182984728	1.1220700152207	1.09740385068022	1.26379701070792	0.1663931600277
stringtie_sq3	ref_evl	es_captrap_ont	mouse	TP	isoform_cov	19	0.955128121382533	0.166580892746797	1	1	1.00108145223329	0.00108145223328959
stringtie_sq3	ref_evl	es_captrap_ont	mouse	PTP	isoform_cov	5	0.608172613432214	0.338071939461283	0.77895373450257	0.34807344194466	0.82807570977918	0.48000226783452
stringtie_sq3	ref_evl	es_captrap_pacbio	mouse	TP	isoform_cov	17	0.928157476868641	0.20079174367971	1	1	1.00090252707581	0.000902527075812287
stringtie_sq3	ref_evl	es_captrap_pacbio	mouse	PTP	isoform_cov	5	0.561317679508668	0.321470396479877	0.525552050473186	0.437254309041427	0.802603947921042	0.365349638879614
